"","collector","location","date","year","month","julian","lat","lon","latitutdinal_region","climate_region","total_ticks","total_l","total_n","total_a","lizard_species","season","tmmn_daily","tmmx_daily","pet_daily","pr_daily","sph_daily","pdsi_monthly","tmmn_monthly","tmmx_monthly","pet_monthly","pr_monthly","sph_monthly","tmmn_fall","tmmn_spring","tmmn_summer","tmmn_winter","tmmx_fall","tmmx_spring","tmmx_summer","tmmx_winter"
"1","Young","Arid","2018-04-20",2018,4,110,"35.024867","-118.679283","central","San Joaquin Valley",7,NA,NA,NA,"Uta","spring",-0.581791250917059,0.0221066920905178,0.681344975978494,-0.106161426197148,-1.78560296744408,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"2","Young","Arid","2018-04-20",2018,4,110,"35.024867","-118.679283","central","San Joaquin Valley",4,NA,NA,NA,"Sceloporus","spring",-0.581791250917059,0.0221066920905178,0.681344975978494,-0.106161426197148,-1.78560296744408,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"3","Young","Arid","2018-04-22",2018,4,112,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.29072988668836,1.92875046121269,1.8810651438131,-0.106161426197148,-1.35703566423283,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"4","Young","Arid","2018-04-22",2018,4,112,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.29072988668836,1.92875046121269,1.8810651438131,-0.106161426197148,-1.35703566423283,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"5","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"6","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"7","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"8","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"9","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
"10","Young","Arid","2018-04-23",2018,4,113,"35.024867","-118.679283","central","San Joaquin Valley",0,NA,NA,NA,"Sceloporus","spring",2.70703766618781,2.1796244398849,2.08101826675684,-0.106161426197148,-1.65373619361985,-0.500407775728936,-0.258935218518209,0.29392005380307,0.654267998020196,-0.286642257618259,-2.13724047173245,-0.384324454572648,1.01109679176788,3.71806123642308,-0.914340577610013,-0.321154979075926,1.42657967568032,2.45798633638857,-0.0814436284951634
